Agnaktor Helm : Agnaktor Carapace x4, Agnaktor Fin+ x1, Ioprey Hide+ x4 : 4 炎戈竜の堅殻, 1 炎戈竜の上ヒレ, 4 イーオスの上皮
Agnaktor Mail : Agnaktor Carapace x2, Agnaktor Fin+ x1, Firecell Stone x1 : 2 炎戈竜の堅殻, 1 炎戈竜の上ヒレ, 1 獄炎石
Agnaktor Vambraces : Agnaktor Carapace x4, B.Tigrex Claw+ x2, Firestone x4 : 4 炎戈竜の堅殻, 2 黒轟竜の尖爪, 4 紅蓮石
Agnaktor Faulds : Agnaktor Carapace x2, Wyvern Stone x1, Ioprey Scale+ x6 : 2 炎戈竜の堅殻, 1 竜玉, 6 イーオスの上鱗
Agnaktor Greaves : Agnaktor Carapace x3, Brachydios Carapace x3, Ioprey Scale+ x4 : 3 炎戈竜の堅殻, 3 砕竜の堅殻, 4 イーオスの上鱗
Agnaktor Cap : Agnaktor Carapace x4, Agnaktor Fin+ x1, Ioprey Hide+ x4 : 4 炎戈竜の堅殻, 1 炎戈竜の上ヒレ, 4 イーオスの上皮
Agnaktor Vest : Agnaktor Carapace x2, Agnaktor Fin+ x1, Firecell Stone x1 : 2 炎戈竜の堅殻, 1 炎戈竜の上ヒレ, 1 獄炎石
Agnaktor Guards : Agnaktor Carapace x4, B.Tigrex Claw+ x2, Firestone x4 : 4 炎戈竜の堅殻, 2 黒轟竜の尖爪, 4 紅蓮石
Agnaktor Coat : Agnaktor Carapace x2, Wyvern Stone x1, Ioprey Scale+ x6 : 2 炎戈竜の堅殻, 1 竜玉, 6 イーオスの上鱗
Agnaktor Leggings : Agnaktor Carapace x3, Brachydios Carapace x3, Ioprey Scale+ x4 : 3 炎戈竜の堅殻, 3 砕竜の堅殻, 4 イーオスの上鱗
Akatsuki Kabuto : Lao Shan Horn x1, Lao Shan Shell x4, Brachydios Scalp x1 : 1 老山龍の角, 4 老山龍の甲殻, 1 砕竜の頭殻
Akatsuki Doate : Lao Shan Shell x4, Firestone x2, Tigrex Scalp x1 : 4 老山龍の甲殻, 2 紅蓮石, 1 轟竜の頭殻
Akatsuki Kote : Lao Shan Shell x3, Lao Shan Claw x1, Rathalos Webbing x2 : 3 老山龍の甲殻, 1 老山龍の大爪, 2 火竜の翼膜
Akatsuki Koshiate : Lao Shan Shell x4, Dragonite Ore x3, Gravios Shell x5 : 4 老山龍の甲殻, 3 ドラグライト鉱石, 5 鎧竜の甲殻
Akatsuki Gusoku : Lao Shan Claw x3, Lao Shan Shell x5, Rathian Spike x2 : 3 老山龍の大爪, 5 老山龍の甲殻, 2 雌火竜の棘
Akebono Eboshi : Lao Shan Horn x1, Lao Shan Shell x4, Brachydios Scalp x1 : 1 老山龍の角, 4 老山龍の甲殻, 1 砕竜の頭殻
Akebono Doate : Lao Shan Shell x4, Firestone x2, Tigrex Scalp x1 : 4 老山龍の甲殻, 2 紅蓮石, 1 轟竜の頭殻
Akebono Kote : Lao Shan Shell x3, Lao Shan Claw x1, Rathalos Webbing x2 : 3 老山龍の甲殻, 1 老山龍の大爪, 2 火竜の翼膜
Akebono Koshiate : Lao Shan Shell x4, Dragonite Ore x3, Gravios Shell x5 : 4 老山龍の甲殻, 3 ドラグライト鉱石, 5 鎧竜の甲殻
Akebono Gusoku : Lao Shan Claw x3, Lao Shan Shell x5, Rathian Spike x2 : 3 老山龍の大爪, 5 老山龍の甲殻, 2 雌火竜の棘
Alloy Helm S : Carbalite Ore x1, Levitalite Ore x1, Dragonite Ore x5, Ice Crystal x3 : 1 カブレライト鉱石, 1 レビテライト鉱石, 5 ドラグライト鉱石, 3 氷結晶
Basarios Helm S : BasariosTears x1, Basarios Carapace x3, Kut-Ku Scale+ x2, Basarios Wing x3 : 1 岩竜の涙, 3 岩竜の堅殻, 2 怪鳥の上鱗, 3 岩竜の翼
Basarios Mail S : Basarios Carapace x5, Firestone x1, Toxin Sac x3, Dragonite Ore x10 : 5 岩竜の堅殻, 1 紅蓮石, 3 猛毒袋, 10 ドラグライト鉱石
Basarios Vambraces S : Basarios Carapace x3, Dragonite Ore x5, Toxin Sac x3, Union Ore x6 : 3 岩竜の堅殻, 5 ドラグライト鉱石, 3 猛毒袋, 6 ユニオン鉱石
Basarios Faulds S : Basarios Carapace x4, Carbalite Ore x7, Dragonite Ore x8, Velociprey Scale+ x3 : 4 岩竜の堅殻, 7 カブレライト鉱石, 8 ドラグライト鉱石, 3 ランポスの上鱗
Basarios Greaves S : Basarios Carapace x3, Carbalite Ore x5, Toxin Sac x3, Velociprey Scale+ x5 : 3 岩竜の堅殻, 5 カブレライト鉱石, 3 猛毒袋, 5 ランポスの上鱗
Basarios Cap U : P.Basarios Carapace x3, BasariosTears x1, Sm Goldenfish x5, Union Ore x3 : 3 桃岩竜の堅殻, 1 岩竜の涙, 5 小金魚, 3 ユニオン鉱石
Basarios Vest U : P.Basarios Carapace x5, Firecell Stone x1, P.Basarios Wing x1, Dragonite Ore x10 : 5 桃岩竜の堅殻, 1 獄炎石, 1 桃岩竜の翼, 10 ドラグライト鉱石
Basarios Guards U : P.Basarios Carapace x3, Carbalite Ore x5, Toxin Sac x3, P.Basarios Wing x2 : 3 桃岩竜の堅殻, 5 カブレライト鉱石, 3 猛毒袋, 2 桃岩竜の翼
Basarios Coat U : P.Basarios Carapace x4, Carbalite Ore x7, Toxin Sac x3, Bird Wyvern Hide+ x3 : 4 桃岩竜の堅殻, 7 カブレライト鉱石, 3 猛毒袋, 3 強靭な鳥竜皮
Basarios Leggings U : P.Basarios Carapace x3, Carbalite Ore x5, Gendrome Tail x2, Bird Wyvern Hide+ x3 : 3 桃岩竜の堅殻, 5 カブレライト鉱石, 2 ドスゲネポスの尾, 3 強靭な鳥竜皮
Basarios Cap S : BasariosTears x1, Basarios Carapace x3, Kut-Ku Scale+ x2, Basarios Wing x3 : 1 岩竜の涙, 3 岩竜の堅殻, 2 怪鳥の上鱗, 3 岩竜の翼
Basarios Vest S : Basarios Carapace x5, Firestone x1, Toxin Sac x3, Dragonite Ore x10 : 5 岩竜の堅殻, 1 紅蓮石, 3 猛毒袋, 10 ドラグライト鉱石
Basarios Guards S : Basarios Carapace x3, Dragonite Ore x5, Toxin Sac x3, Union Ore x6 : 3 岩竜の堅殻, 5 ドラグライト鉱石, 3 猛毒袋, 6 ユニオン鉱石
Basarios Coat S : Basarios Carapace x4, Carbalite Ore x7, Dragonite Ore x8, Velociprey Scale+ x3 : 4 岩竜の堅殻, 7 カブレライト鉱石, 8 ドラグライト鉱石, 3 ランポスの上鱗
Basarios Leggings S : Basarios Carapace x3, Carbalite Ore x5, Toxin Sac x3, Velociprey Scale+ x5 : 3 岩竜の堅殻, 5 カブレライト鉱石, 3 猛毒袋, 5 ランポスの上鱗
Basarios Helm : Basarios Shell x3, Machalite Ore x5, Kut-Ku Scale x2, Whetfish x10 : 3 岩竜の甲殻, 5 マカライト鉱石, 2 怪鳥の鱗, 10 キレアジ
Basarios Mail : Basarios Shell x5, Machalite Ore x7, Poison Sac x3, Basarios Wing x1 : 5 岩竜の甲殻, 7 マカライト鉱石, 3 毒袋, 1 岩竜の翼
Basarios Vambraces : Basarios Shell x3, Machalite Ore x5, Poison Sac x3, Earth Crystal x10 : 3 岩竜の甲殻, 5 マカライト鉱石, 3 毒袋, 10 大地の結晶
Basarios Faulds : Basarios Shell x4, Machalite Ore x7, Iron Ore x6, Genprey Hide x3 : 4 岩竜の甲殻, 7 マカライト鉱石, 6 鉄鉱石, 3 ゲネポスの皮
Basarios Greaves : Basarios Shell x3, Machalite Ore x5, Poison Sac x3, Genprey Hide x5 : 3 岩竜の甲殻, 5 マカライト鉱石, 3 毒袋, 5 ゲネポスの皮
Basarios Cap : Basarios Shell x3, Machalite Ore x5, Kut-Ku Scale x2, Whetfish x10 : 3 岩竜の甲殻, 5 マカライト鉱石, 2 怪鳥の鱗, 10 キレアジ
Basarios Vest : Basarios Shell x5, Machalite Ore x7, Poison Sac x3, Basarios Wing x1 : 5 岩竜の甲殻, 7 マカライト鉱石, 3 毒袋, 1 岩竜の翼
Basarios Guards : Basarios Shell x3, Machalite Ore x5, Poison Sac x3, Earth Crystal x10 : 3 岩竜の甲殻, 5 マカライト鉱石, 3 毒袋, 10 大地の結晶
Basarios Coat : Basarios Shell x4, Machalite Ore x7, Iron Ore x6, Genprey Hide x3 : 4 岩竜の甲殻, 7 マカライト鉱石, 6 鉄鉱石, 3 ゲネポスの皮
Basarios Leggings : Basarios Shell x3, Machalite Ore x5, Poison Sac x3, Genprey Hide x5 : 3 岩竜の甲殻, 5 マカライト鉱石, 3 毒袋, 5 ゲネポスの皮
Battle Helm : Striped Skin x2, Iron Ore x5, Kunchuu Shell x4, Earth Crystal x2 : 2 縞模様の皮, 5 鉄鉱石, 4 盾虫の甲殻, 2 大地の結晶
Battle Mail : Remobra Skin x2, Warm Pelt x2, Genprey Scale x5, Earth Crystal x3 : 2 翼蛇竜の皮, 2 暖かい毛皮, 5 ゲネポスの鱗, 3 大地の結晶
Battle Vambraces : Remobra Skin x1, Warm Pelt x1, Conga Pelt x5, Earth Crystal x2 : 1 翼蛇竜の皮, 1 暖かい毛皮, 5 コンガの毛, 2 大地の結晶
Battle Faulds : Remobra Skin x2, Warm Pelt x2, Velociprey Hide x3, Earth Crystal x2 : 2 翼蛇竜の皮, 2 暖かい毛皮, 3 ランポスの皮, 2 大地の結晶
Battle Greaves : Striped Skin x1, Warm Pelt x1, Ioprey Scale x5, Earth Crystal x3 : 1 縞模様の皮, 1 暖かい毛皮, 5 イーオスの鱗, 3 大地の結晶
Battle Cap : Striped Skin x2, Iron Ore x5, Kunchuu Shell x4, Earth Crystal x2 : 2 縞模様の皮, 5 鉄鉱石, 4 盾虫の甲殻, 2 大地の結晶
Battle Vest : Remobra Skin x2, Warm Pelt x2, Genprey Scale x5, Earth Crystal x3 : 2 翼蛇竜の皮, 2 暖かい毛皮, 5 ゲネポスの鱗, 3 大地の結晶
Battle Guards : Remobra Skin x1, Warm Pelt x1, Conga Pelt x5, Earth Crystal x2 : 1 翼蛇竜の皮, 1 暖かい毛皮, 5 コンガの毛, 2 大地の結晶
Battle Coat : Remobra Skin x2, Warm Pelt x2, Velociprey Hide x3, Earth Crystal x2 : 2 翼蛇竜の皮, 2 暖かい毛皮, 3 ランポスの皮, 2 大地の結晶
Battle Leggings : Striped Skin x1, Warm Pelt x1, Ioprey Scale x5, Earth Crystal x3 : 1 縞模様の皮, 1 暖かい毛皮, 5 イーオスの鱗, 3 大地の結晶
Black Belt Helm : Rajang Pelt x2, Gravios Coin x3, Wyvern Coin x3, Beast Coin x3 : 2 金獅子の黒毛, 3 撃龍王のコイン, 3 飛竜のコイン, 3 獣竜のコイン
Black Belt Mail : Rajang Pelt x1, Gravios Coin x2, Wyvern Coin x2, Wolf Coin x3 : 1 金獅子の黒毛, 2 撃龍王のコイン, 2 飛竜のコイン, 3 牙竜のコイン
Black Belt Vambraces : Rajang Pelt x2, Gravios Coin x3, Wyvern Coin x3, Beast Coin x3 : 2 金獅子の黒毛, 3 撃龍王のコイン, 3 飛竜のコイン, 3 獣竜のコイン
Black Belt Faulds : Rajang Pelt x1, Gravios Coin x2, Wyvern Coin x2, Wolf Coin x3 : 1 金獅子の黒毛, 2 撃龍王のコイン, 2 飛竜のコイン, 3 牙竜のコイン
Black Belt Greaves : Rajang Pelt x2, Gravios Coin x2, Wyvern Coin x2, Reptile Coin x4 : 2 金獅子の黒毛, 2 撃龍王のコイン, 2 飛竜のコイン, 4 ガマのコイン
Black Belt Cap : Rajang Pelt x2, Gravios Coin x3, Wyvern Coin x3, Beast Coin x3 : 2 金獅子の黒毛, 3 撃龍王のコイン, 3 飛竜のコイン, 3 獣竜のコイン
Black Belt Vest : Rajang Pelt x1, Gravios Coin x2, Wyvern Coin x2, Wolf Coin x3 : 1 金獅子の黒毛, 2 撃龍王のコイン, 2 飛竜のコイン, 3 牙竜のコイン
Black Belt Guards : Rajang Pelt x2, Gravios Coin x3, Wyvern Coin x3, Beast Coin x3 : 2 金獅子の黒毛, 3 撃龍王のコイン, 3 飛竜のコイン, 3 獣竜のコイン
Black Belt Coat : Rajang Pelt x1, Gravios Coin x2, Wyvern Coin x2, Wolf Coin x3 : 1 金獅子の黒毛, 2 撃龍王のコイン, 2 飛竜のコイン, 3 牙竜のコイン
Black Belt Leggings : Rajang Pelt x2, Gravios Coin x2, Wyvern Coin x2, Reptile Coin x4 : 2 金獅子の黒毛, 2 撃龍王のコイン, 2 飛竜のコイン, 4 ガマのコイン
Black Leather Legs : MH Club Invite x3, Remobra Skin x6 : 3 モンハン部入部届, 6 翼蛇竜の皮
Black Leather Pants : MH Club Invite x3, Remobra Skin x6 : 3 モンハン部入部届, 6 翼蛇竜の皮
Blango Helm : Blangonga Fang+ x2, Blangonga Pelt+ x3, Pelagus Bone x4, Velocidrome Hide x3 : 2 雪獅子の鋭牙, 3 雪獅子の剛毛, 4 獣骨, 3 ドスランポスの皮
Blango Mail : Blangonga Pelt+ x3, Blangonga Whiskers x3, Bird Wyvern Hide+ x3, Velociprey Hide+ x3 : 3 雪獅子の剛毛, 3 雪獅子の髭, 3 強靭な鳥竜皮, 3 ランポスの上皮
Blango Vambraces : Blangonga Pelt+ x2, Lagombi Claw+ x2, Lagombi Plastron+ x2, Stoutbone x2 : 2 雪獅子の剛毛, 2 白兎獣の凍爪, 2 白兎獣の堅腹甲, 2 堅牢な骨
Blango Faulds : Blangonga Pelt+ x4, Blangonga Whiskers x1, Pelagus Bone x3, Kirin Hide x2 : 4 雪獅子の剛毛, 1 雪獅子の髭, 3 獣骨, 2 キリンの皮
Blango Greaves : Blangonga Pelt+ x2, Lagombi Pelt+ x6, Monster Hardbone x1, Quality Pelt x2 : 2 雪獅子の剛毛, 6 白兎獣の剛毛, 1 堅竜骨, 2 上質な毛皮
Blango Cap : Blangonga Fang+ x2, Blangonga Pelt+ x3, Pelagus Bone x4, Velocidrome Hide x3 : 2 雪獅子の鋭牙, 3 雪獅子の剛毛, 4 獣骨, 3 ドスランポスの皮
Blango Vest : Blangonga Pelt+ x3, Blangonga Whiskers x3, Bird Wyvern Hide+ x3, Velociprey Hide+ x3 : 3 雪獅子の剛毛, 3 雪獅子の髭, 3 強靭な鳥竜皮, 3 ランポスの上皮
Blango Guards : Blangonga Pelt+ x2, Lagombi Claw+ x2, Lagombi Plastron+ x2, Stoutbone x2 : 2 雪獅子の剛毛, 2 白兎獣の凍爪, 2 白兎獣の堅腹甲, 2 堅牢な骨
Blango Coat : Blangonga Pelt+ x4, Blangonga Whiskers x1, Pelagus Bone x3, Kirin Hide x2 : 4 雪獅子の剛毛, 1 雪獅子の髭, 3 獣骨, 2 キリンの皮
Blango Leggings : Blangonga Pelt+ x2, Lagombi Pelt+ x6, Monster Hardbone x1, Quality Pelt x2 : 2 雪獅子の剛毛, 6 白兎獣の剛毛, 1 堅竜骨, 2 上質な毛皮
Blue Star Lobos : Studio Pass x1, Rathalos Scale x3, Rathalos Shell x3, Rathalos Plate x1 : 1 スタジオパス, 3 火竜の鱗, 3 火竜の甲殻, 1 火竜の逆鱗
Blue Star Suit : Studio Pass x1, Rathalos Shell x4, Rath Medulla x2, Rage Crystal x2 : 1 スタジオパス, 4 火竜の甲殻, 2 火竜の延髄, 2 狂竜結晶
Blue Star Vambraces : Studio Pass x1, Guild Ticket x3, Fire Wyvern Claw x6, Rathalos Scale x4 : 1 スタジオパス, 3 ギルドチケット, 6 火竜の翼爪, 4 火竜の鱗
Blue Star Coil : Studio Pass x1, Guild Ticket x2, Rathalos Shell x3, Rath Marrow x3 : 1 スタジオパス, 2 ギルドチケット, 3 火竜の甲殻, 3 火竜の骨髄
Blue Star Boots : Studio Pass x1, Rathalos Tail x4, Rathalos Plate x1, Rage Crystal Fragment x3 : 1 スタジオパス, 4 火竜の尻尾, 1 火竜の逆鱗, 3 狂竜結晶の欠片
Blue Star Hat : Studio Pass x1, Rathalos Scale x3, Rathalos Shell x3, Rathalos Plate x1 : 1 スタジオパス, 3 火竜の鱗, 3 火竜の甲殻, 1 火竜の逆鱗
Blue Star Vest : Studio Pass x1, Rathalos Shell x4, Rath Medulla x2, Rage Crystal x2 : 1 スタジオパス, 4 火竜の甲殻, 2 火竜の延髄, 2 狂竜結晶
Blue Star Cuffs : Studio Pass x1, Guild Ticket x3, Fire Wyvern Claw x6, Rathalos Scale x4 : 1 スタジオパス, 3 ギルドチケット, 6 火竜の翼爪, 4 火竜の鱗
Blue Star Coat : Studio Pass x1, Guild Ticket x2, Rathalos Shell x3, Rath Marrow x3 : 1 スタジオパス, 2 ギルドチケット, 3 火竜の甲殻, 3 火竜の骨髄
Blue Star Feet : Studio Pass x1, Rathalos Tail x4, Rathalos Plate x1, Rage Crystal Fragment x3 : 1 スタジオパス, 4 火竜の尻尾, 1 火竜の逆鱗, 3 狂竜結晶の欠片
Bnahabra Hat S : Bnahabra Carapace x2, Bnahabra Shell x3, Altaroth Stomach x2, Hercudrome x2 : 2 飛甲虫の堅殻, 3 飛甲虫の甲殻, 2 甲虫の腹袋, 2 ドスヘラクレス
Bnahabra Suit S : Bnahabra Carapace x2, Bnahabra Shell x3, Monster Broth x2, Hercudrome x2 : 2 飛甲虫の堅殻, 3 飛甲虫の甲殻, 2 モンスターの濃汁, 2 ドスヘラクレス
Bnahabra Gloves S : Bnahabra Carapace x2, Bnahabra Wing x4, Quality Sac x2, Monster Fluid x3 : 2 飛甲虫の堅殻, 4 飛甲虫の羽, 2 上質な腹袋, 3 モンスターの体液
Bnahabra Coil S : Bnahabra Carapace x2, Bnahabra Wing x4, Monster Broth x1, Hercudrome x2 : 2 飛甲虫の堅殻, 4 飛甲虫の羽, 1 モンスターの濃汁, 2 ドスヘラクレス
Bnahabra Boots S : Bnahabra Carapace x2, Bnahabra Wing x4, Quality Sac x1, Monster Fluid x3 : 2 飛甲虫の堅殻, 4 飛甲虫の羽, 1 上質な腹袋, 3 モンスターの体液
Bnahabra Cap S : Bnahabra Carapace x2, Bnahabra Shell x3, Altaroth Stomach x2, Hercudrome x2 : 2 飛甲虫の堅殻, 3 飛甲虫の甲殻, 2 甲虫の腹袋, 2 ドスヘラクレス
Bnahabra Vest S : Bnahabra Carapace x2, Bnahabra Shell x3, Monster Broth x2, Hercudrome x2 : 2 飛甲虫の堅殻, 3 飛甲虫の甲殻, 2 モンスターの濃汁, 2 ドスヘラクレス
Bnahabra Cuffs S : Bnahabra Carapace x2, Bnahabra Wing x4, Quality Sac x2, Monster Fluid x3 : 2 飛甲虫の堅殻, 4 飛甲虫の羽, 2 上質な腹袋, 3 モンスターの体液
Bnahabra Coat S : Bnahabra Carapace x2, Bnahabra Wing x4, Monster Broth x1, Hercudrome x2 : 2 飛甲虫の堅殻, 4 飛甲虫の羽, 1 モンスターの濃汁, 2 ドスヘラクレス
Bnahabra Feet S : Bnahabra Carapace x2, Bnahabra Wing x4, Quality Sac x1, Monster Fluid x3 : 2 飛甲虫の堅殻, 4 飛甲虫の羽, 1 上質な腹袋, 3 モンスターの体液
Bnahabra Hat : Bnahabra Shell x2, Bnahabra Wing x3, Thunderbug x1, Gluehopper x2 : 2 飛甲虫の甲殻, 3 飛甲虫の羽, 1 雷光虫, 2 のりこねバッタ
Bnahabra Suit : Bnahabra Shell x2, Bnahabra Wing x3, Monster Fluid x2, Thunderbug x1 : 2 飛甲虫の甲殻, 3 飛甲虫の羽, 2 モンスターの体液, 1 雷光虫
Bnahabra Gloves : Bnahabra Wing x3, Bnahabra Shell x2, Altaroth Stomach x2, Flashbug x2 : 3 飛甲虫の羽, 2 飛甲虫の甲殻, 2 甲虫の腹袋, 2 光蟲
Bnahabra Coil : Bnahabra Wing x3, Bnahabra Shell x2, Monster Fluid x1, Flashbug x2 : 3 飛甲虫の羽, 2 飛甲虫の甲殻, 1 モンスターの体液, 2 光蟲
Bnahabra Boots : Bnahabra Shell x2, Bnahabra Wing x3, Thunderbug x2, Gluehopper x2 : 2 飛甲虫の甲殻, 3 飛甲虫の羽, 2 雷光虫, 2 のりこねバッタ
Bnahabra Cap : Bnahabra Shell x2, Bnahabra Wing x3, Thunderbug x1, Gluehopper x2 : 2 飛甲虫の甲殻, 3 飛甲虫の羽, 1 雷光虫, 2 のりこねバッタ
Bnahabra Vest : Bnahabra Shell x2, Bnahabra Wing x3, Monster Fluid x2, Thunderbug x1 : 2 飛甲虫の甲殻, 3 飛甲虫の羽, 2 モンスターの体液, 1 雷光虫
Bnahabra Cuffs : Bnahabra Wing x3, Bnahabra Shell x2, Altaroth Stomach x2, Flashbug x2 : 3 飛甲虫の羽, 2 飛甲虫の甲殻, 2 甲虫の腹袋, 2 光蟲
Bnahabra Coat : Bnahabra Wing x3, Bnahabra Shell x2, Monster Fluid x1, Flashbug x2 : 3 飛甲虫の羽, 2 飛甲虫の甲殻, 1 モンスターの体液, 2 光蟲
Bnahabra Feet : Bnahabra Shell x2, Bnahabra Wing x3, Thunderbug x2, Gluehopper x2 : 2 飛甲虫の甲殻, 3 飛甲虫の羽, 2 雷光虫, 2 のりこねバッタ
Bone Helm S : Avian Finebone x2, Monster Bone S x3, Unkown Skull x3 : 2 上質な鳥竜骨, 3 竜骨【小】, 3 なぞの頭骨
Bone Mail S : Stoutbone x1, Monster Bone S x5, Sharpened Fang x5 : 1 堅牢な骨, 5 竜骨【小】, 5 とがった牙
Bone Vambraces S : Avian Finebone x2, Monster Bone L x1, Sharpened Fang x5 : 2 上質な鳥竜骨, 1 竜骨【大】, 5 とがった牙
Bone Faulds S : Stoutbone x1, Monster Bone M x2, Mystery Bone x10 : 1 堅牢な骨, 2 竜骨【中】, 10 なぞの骨
Bone Greaves S : Avian Finebone x2, Monster Bone S x3, Monster Bone+ x2 : 2 上質な鳥竜骨, 3 竜骨【小】, 2 上竜骨
Bone Cap S : Avian Finebone x2, Monster Bone S x3, Unkown Skull x3 : 2 上質な鳥竜骨, 3 竜骨【小】, 3 なぞの頭骨
Bone Vest S : Stoutbone x1, Monster Bone S x5, Sharpened Fang x5 : 1 堅牢な骨, 5 竜骨【小】, 5 とがった牙
Bone Guards S : Avian Finebone x2, Monster Bone L x1, Sharpened Fang x5 : 2 上質な鳥竜骨, 1 竜骨【大】, 5 とがった牙
Bone Coat S : Stoutbone x1, Monster Bone M x2, Mystery Bone x10 : 1 堅牢な骨, 2 竜骨【中】, 10 なぞの骨
Bone Leggings S : Avian Finebone x2, Monster Bone S x3, Monster Bone+ x2 : 2 上質な鳥竜骨, 3 竜骨【小】, 2 上竜骨
Bone Helm : Mystery Bone x2, Unkown Skull x1, Altaroth Jaw x1 : 2 なぞの骨, 1 なぞの頭骨, 1 甲虫の大顎
Bone Mail : Mystery Bone x2, Jumbo Bone x1, Altaroth Stomach x2 : 2 なぞの骨, 1 大きな骨, 2 甲虫の腹袋
Bone Vambraces : Mystery Bone x2, Monster Bone S x2, Monster Fluid x2 : 2 なぞの骨, 2 竜骨【小】, 2 モンスターの体液
Bone Faulds : Mystery Bone x2, Monster Bone S x2, Sharpened Fang x2 : 2 なぞの骨, 2 竜骨【小】, 2 とがった牙
Bone Greaves : Mystery Bone x2, Monster Bone M x1, Sharpened Fang x1 : 2 なぞの骨, 1 竜骨【中】, 1 とがった牙
Bone Cap : Mystery Bone x2, Unkown Skull x1, Altaroth Jaw x1 : 2 なぞの骨, 1 なぞの頭骨, 1 甲虫の大顎
Bone Vest : Mystery Bone x2, Jumbo Bone x1, Altaroth Stomach x2 : 2 なぞの骨, 1 大きな骨, 2 甲虫の腹袋
Bone Guards : Mystery Bone x2, Monster Bone S x2, Monster Fluid x2 : 2 なぞの骨, 2 竜骨【小】, 2 モンスターの体液
Bone Coat : Mystery Bone x2, Monster Bone S x2, Sharpened Fang x2 : 2 なぞの骨, 2 竜骨【小】, 2 とがった牙
Bone Leggings : Mystery Bone x2, Monster Bone M x1, Sharpened Fang x1 : 2 なぞの骨, 1 竜骨【中】, 1 とがった牙
Bouya Jacket : Lily Proof x2, Guild Ticket S x1, Ioprey Scale+ x6, Iodrome Head x3 : 2 鈴蘭最強の証, 1 ギルドチケットＳ, 6 イーオスの上鱗, 3 ドスイーオスの頭
Bouya Belt : Lily Proof x2, Guild Ticket S x2, Ioprey Hide+ x5, Bird Wyvern Stone x3 : 2 鈴蘭最強の証, 2 ギルドチケットＳ, 5 イーオスの上皮, 3 鳥竜玉
Bouya Jeans : Lily Proof x2, Guild Ticket S x1, Bird Wyvern Hide+ x3, Gore Magala Scale x4 : 2 鈴蘭最強の証, 1 ギルドチケットＳ, 3 強靭な鳥竜皮, 4 黒蝕竜の鱗
Bouya Jumper : Lily Proof x2, Guild Ticket S x1, Ioprey Scale+ x6, Iodrome Head x3 : 2 鈴蘭最強の証, 1 ギルドチケットＳ, 6 イーオスの上鱗, 3 ドスイーオスの頭
Bouya Buckle : Lily Proof x2, Guild Ticket S x2, Ioprey Hide+ x5, Bird Wyvern Stone x3 : 2 鈴蘭最強の証, 2 ギルドチケットＳ, 5 イーオスの上皮, 3 鳥竜玉
Bouya Denims : Lily Proof x2, Guild Ticket S x1, Bird Wyvern Hide+ x3, Gore Magala Scale x4 : 2 鈴蘭最強の証, 1 ギルドチケットＳ, 3 強靭な鳥竜皮, 4 黒蝕竜の鱗
Brachydios Helm S : Brachydios Ebonshell+ x3, Brachydios Scalp+ x2, Mystery Slime x3, Firecell Stone x4 : 3 砕竜の堅黒曜甲, 2 砕竜の尖頭殻, 3 なぞの粘菌, 4 獄炎石
Brachydios Mail S : Brachydios Carapace x4, Brachydios Ebonshell+ x3, Brachydios Marrow x2, Monster Hardbone x2 : 4 砕竜の堅殻, 3 砕竜の堅黒曜甲, 2 砕竜の骨髄, 2 堅竜骨
Brachydios Vambraces S : Brachydios Ebonshell+ x3, Brachydios Fist+ x1, Mystery Slime x3, Novacrystal x1 : 3 砕竜の堅黒曜甲, 1 砕竜の剛拳, 3 なぞの粘菌, 1 ノヴァクリスタル
Brachydios Faulds S : Brachydios Fist+ x2, Brachydios Tail x1, Brachydios Carapace x4, Brachydios Gem x1 : 2 砕竜の剛拳, 1 砕竜の尻尾, 4 砕竜の堅殻, 1 砕竜の宝玉
Brachydios Greaves S : Brachydios Carapace x4, Brachydios Ebonshell+ x2, Brachydios Fist+ x2, Fulcralite Ore x3 : 4 砕竜の堅殻, 2 砕竜の堅黒曜甲, 2 砕竜の剛拳, 3 フルクライト鉱石
Brachydios Cap S : Brachydios Ebonshell+ x3, Brachydios Scalp+ x2, Mystery Slime x3, Firecell Stone x4 : 3 砕竜の堅黒曜甲, 2 砕竜の尖頭殻, 3 なぞの粘菌, 4 獄炎石
Brachydios Vest S : Brachydios Carapace x4, Brachydios Ebonshell+ x3, Brachydios Marrow x2, Monster Hardbone x2 : 4 砕竜の堅殻, 3 砕竜の堅黒曜甲, 2 砕竜の骨髄, 2 堅竜骨
Brachydios Guards S : Brachydios Ebonshell+ x3, Brachydios Fist+ x1, Mystery Slime x3, Novacrystal x1 : 3 砕竜の堅黒曜甲, 1 砕竜の剛拳, 3 なぞの粘菌, 1 ノヴァクリスタル
Brachydios Coat S : Brachydios Fist+ x2, Brachydios Tail x1, Brachydios Carapace x4, Brachydios Gem x1 : 2 砕竜の剛拳, 1 砕竜の尻尾, 4 砕竜の堅殻, 1 砕竜の宝玉
Brachydios Leggings S : Brachydios Carapace x4, Brachydios Ebonshell+ x2, Brachydios Fist+ x2, Fulcralite Ore x3 : 4 砕竜の堅殻, 2 砕竜の堅黒曜甲, 2 砕竜の剛拳, 3 フルクライト鉱石
Brachydios Helm : Brachydios Ebonshell x3, Brachydios Scalp x1, Mystery Slime x3, Firestone x2 : 3 砕竜の黒曜甲, 1 砕竜の頭殻, 3 なぞの粘菌, 2 紅蓮石
