Leather Headgear : Warm Pelt x1, Iron Ore x1 : 1 暖かい毛皮, 1 鉄鉱石
Leather Vest : Bullfango Pelt x1, Iron Ore x1 : 1 ファンゴの毛皮, 1 鉄鉱石
Leather Gloves : Warm Pelt x2 : 2 暖かい毛皮
Leather Belt : Bullfango Pelt x1, Iron Ore x1 : 1 ファンゴの毛皮, 1 鉄鉱石
Leather Pants : Warm Pelt x2 : 2 暖かい毛皮
Piscine Mask : Kelbi Horn x2, Airweed x2, Mystery Bone x2 : 2 ケルビの角, 2 イキツギ藻, 2 なぞの骨
Piscine Belt : Hydro Hide x2, Broken Shell x2 : 2 水生獣の皮, 2 欠けた貝殻
Piscine Breeches : Hydro Hide x2, Big Fin x1 : 2 水生獣の皮, 1 大きなヒレ
Chainmail Headgear : Earth Crystal x1, Iron Ore x1 : 1 大地の結晶, 1 鉄鉱石
Chainmail Vest : Iron Ore x2, Warm Pelt x1 : 2 鉄鉱石, 1 暖かい毛皮
Chainmail Gloves : Iron Ore x1, Whetstone x2 : 1 鉄鉱石, 2 砥石
Chainmail Belt : Iron Ore x1, Warm Pelt x2 : 1 鉄鉱石, 2 暖かい毛皮
Chainmail Pants : Iron Ore x2, Warm Pelt x2 : 2 鉄鉱石, 2 暖かい毛皮
Loc Lac Shawl : Altaroth Stomach x1, Monster Fluid x3, Ice Crystal x3 : 1 甲虫の腹袋, 3 モンスターの体液, 3 氷結晶
Loc Lac Kilt : Altaroth Stomach x2, Altaroth Jaw x2, Ice Crystal x3 : 2 甲虫の腹袋, 2 甲虫の大顎, 3 氷結晶
Loc Lac Boots : Altaroth Jaw x3, Altaroth Stomach x2, Ice Crystal x3 : 3 甲虫の大顎, 2 甲虫の腹袋, 3 氷結晶
Hunter's Helm : Machalite Ore x1, Iron Ore x1, Carpenterbug x2 : 1 マカライト鉱石, 1 鉄鉱石, 2 セッチャクロアリ
Hunter's Mail : Iron Ore x2, Jaggi Scale x1, Monster Bone S x2 : 2 鉄鉱石, 1 ジャギィの鱗, 2 竜骨【小】
Hunter's Vambraces : Earth Crystal x1, Jaggi Scale x2, Ivy x1 : 1 大地の結晶, 2 ジャギィの鱗, 1 ツタの葉
Hunter's Faulds : Machalite Ore x2, Iron Ore x1, Carpenterbug x1 : 2 マカライト鉱石, 1 鉄鉱石, 1 セッチャクロアリ
Hunter's Greaves : Iron Ore x1, Earth Crystal x1, Monster Bone S x2 : 1 鉄鉱石, 1 大地の結晶, 2 竜骨【小】
Hunter's Cap : Machalite Ore x1, Iron Ore x1, Carpenterbug x2 : 1 マカライト鉱石, 1 鉄鉱石, 2 セッチャクロアリ
Hunter's Vest : Iron Ore x2, Jaggi Scale x1, Monster Bone S x2 : 2 鉄鉱石, 1 ジャギィの鱗, 2 竜骨【小】
Hunter's Guards : Earth Crystal x1, Jaggi Scale x2, Ivy x1 : 1 大地の結晶, 2 ジャギィの鱗, 1 ツタの葉
Hunter's Coat : Machalite Ore x2, Iron Ore x1, Carpenterbug x1 : 2 マカライト鉱石, 1 鉄鉱石, 1 セッチャクロアリ
Hunter's Leggings : Iron Ore x1, Earth Crystal x1, Monster Bone S x2 : 1 鉄鉱石, 1 大地の結晶, 2 竜骨【小】
Yukumo Kasa : Buy in Tanzia Port (1100z) : ※港店売り
Yukumo Dogi : Buy in Tanzia Port (1100z) : ※港店売り
Yukumo Kote : Buy in Tanzia Port (1100z) : ※港店売り
Yukumo Obi : Buy in Tanzia Port (1100z) : ※港店売り
Yukumo Hakama : Buy in Tanzia Port (1100z) : ※港店売り
Alloy Helm : Machalite Ore x3, Earth Crystal x2, Iron Ore x3 : 3 マカライト鉱石, 2 大地の結晶, 3 鉄鉱石
Alloy Mail : Machalite Ore x3, Pelagicite Ore x2, Iron Ore x2 : 3 マカライト鉱石, 2 シーブライト鉱石, 2 鉄鉱石
Alloy Vambraces : Machalite Ore x2, Earth Crystal x2, Iron Ore x4 : 2 マカライト鉱石, 2 大地の結晶, 4 鉄鉱石
Alloy Coil : Machalite Ore x2, Pelagicite Ore x2, Iron Ore x3 : 2 マカライト鉱石, 2 シーブライト鉱石, 3 鉄鉱石
Alloy Greaves : Machalite Ore x4, Earth Crystal x2, Iron Ore x2 : 4 マカライト鉱石, 2 大地の結晶, 2 鉄鉱石
Alloy Cap : Machalite Ore x3, Earth Crystal x2, Iron Ore x3 : 3 マカライト鉱石, 2 大地の結晶, 3 鉄鉱石
Alloy Vest : Machalite Ore x3, Pelagicite Ore x2, Iron Ore x2 : 3 マカライト鉱石, 2 シーブライト鉱石, 2 鉄鉱石
Alloy Guards : Machalite Ore x2, Earth Crystal x2, Iron Ore x4 : 2 マカライト鉱石, 2 大地の結晶, 4 鉄鉱石
Alloy Coat : Machalite Ore x2, Pelagicite Ore x2, Iron Ore x3 : 2 マカライト鉱石, 2 シーブライト鉱石, 3 鉄鉱石
Alloy Leggings : Machalite Ore x4, Earth Crystal x2, Iron Ore x2 : 4 マカライト鉱石, 2 大地の結晶, 2 鉄鉱石
Bone Helm : Big Fin x3, Unknown Skull x1, Sharpened Fang x2 : 3 大きなヒレ, 1 なぞの頭骨, 2 とがった牙
Bone Mail : Jumbo Bone x1, Mystery Bone x4, Sharpened Fang x2 : 1 大きな骨, 4 なぞの骨, 2 とがった牙
Bone Vambraces : Monster Bone S x3, Mystery Bone x3, Sharpened Fang x2 : 3 竜骨【小】, 3 なぞの骨, 2 とがった牙
Bone Faulds : Monster Bone S x3, Bone x3, Sharpened Fang x2 : 3 竜骨【小】, 3 棒状の骨, 2 とがった牙
Bone Greaves : Monster Bone M x2, Bone x2, Mystery Bone x4 : 2 竜骨【中】, 2 棒状の骨, 4 なぞの骨
Bone Cap : Big Fin x3, Unknown Skull x1, Sharpened Fang x2 : 3 大きなヒレ, 1 なぞの頭骨, 2 とがった牙
Bone Vest : Jumbo Bone x1, Mystery Bone x4, Sharpened Fang x2 : 1 大きな骨, 4 なぞの骨, 2 とがった牙
Bone Guards : Monster Bone S x3, Mystery Bone x3, Sharpened Fang x2 : 3 竜骨【小】, 3 なぞの骨, 2 とがった牙
Bone Coat : Monster Bone S x3, Bone x3, Sharpened Fang x2 : 3 竜骨【小】, 3 棒状の骨, 2 とがった牙
Bone Leggings : Monster Bone M x2, Bone x2, Mystery Bone x4 : 2 竜骨【中】, 2 棒状の骨, 4 なぞの骨
Bnahabra Hat : Bnahabra Shell x2, Bnahabra Wing x3, Killer Beetle x1, Carpenterbug x2 : 2 飛甲虫の甲殻, 3 飛甲虫の羽, 1 キラビートル, 2 セッチャクロアリ
Baggi Cap : G.Baggi Hide x3, G.Baggi Claw x2, Baggi Scale x3, Isisium x2 : 3 眠狗竜の皮, 2 眠狗竜の爪, 3 バギィの鱗, 2 アイシスメタル
Baggi Vest : King's Crest x1, G.Baggi Claw x1, Baggi Hide x2, Pelagicite Ore x2 : 1 王者のトサカ, 1 眠狗竜の爪, 2 バギィの皮, 2 シーブライト鉱石
Baggi Guards : G.Baggi Claw x2, G.Baggi Hide x3, Baggi Hide x2, Isisium x2 : 2 眠狗竜の爪, 3 眠狗竜の皮, 2 バギィの皮, 2 アイシスメタル
Baggi Coat : G.Baggi Hide x2, King's Crest x1, Sleep x3, Pelagicite Ore x2 : 2 眠狗竜の皮, 1 王者のトサカ, 3 睡眠袋, 2 シーブライト鉱石
Baggi Leggings : Baggi Hide x4, Baggi Scale x3, Monster Bone S x6, Lightcrystal x1 : 4 バギィの皮, 3 バギィの鱗, 6 竜骨【小】, 1 ライトクリスタル 
Lagombi Helm : Lagombi Ear x2, Jumbo Bone x2, Baggi Hide x4, Isisium x2 : 2 白兎獣の耳, 2 大きな骨, 4 バギィの皮, 2 アイシスメタル
Lagombi Mail : Lagom Plastron x2, Lagombi Pelt x2, Baggi Scale x4, Killer Beetle x3 : 2 白兎獣の腹甲, 2 白兎獣の毛, 4 バギィの鱗, 3 キラビートル
Lagombi Vambraces : Lagombi Claw x2, Lagombi Pelt x2, Lagom Plastron x1, Velvety Hide x4 : 2 白兎獣の氷爪, 2 白兎獣の毛, 1 白兎獣の腹甲, 4 なめらかな皮
Lagombi Faulds : Lagombi Pelt x3, Lagombi Claw x1, Jumbo Bone x2, Killer Beetle x3 : 3 白兎獣の毛, 1 白兎獣の氷爪, 2 大きな骨, 3 キラビートル
Lagombi Greaves : Lagombi Pelt x2, Lagom Plastron x2, Lagombi Claw x1, Carpenterbug x8 : 2 白兎獣の毛, 2 白兎獣の腹甲, 1 白兎獣の氷爪, 8 セッチャクロアリ
Lagombi Cap : Lagombi Ear x2, Jumbo Bone x2, Baggi Hide x4, Isisium x2 : 2 白兎獣の耳, 2 大きな骨, 4 バギィの皮, 2 アイシスメタル
Lagombi Vest : Lagom Plastron x2, Lagombi Pelt x2, Baggi Scale x4, Killer Beetle x3 : 2 白兎獣の腹甲, 2 白兎獣の毛, 4 バギィの鱗, 3 キラビートル
Lagombi Guards : Lagombi Claw x2, Lagombi Pelt x2, Lagom Plastron x1, Velvety Hide x4 : 2 白兎獣の氷爪, 2 白兎獣の毛, 1 白兎獣の腹甲, 4 なめらかな皮
Lagombi Coat : Lagombi Pelt x3, Lagombi Claw x1, Jumbo Bone x2, Killer Beetle x3 : 3 白兎獣の毛, 1 白兎獣の氷爪, 2 大きな骨, 3 キラビートル
Lagombi Leggings : Lagombi Pelt x2, Lagom Plastron x2, Lagombi Claw x1, Carpenterbug x8 : 2 白兎獣の毛, 2 白兎獣の腹甲, 1 白兎獣の氷爪, 8 セッチャクロアリ
Barroth Helm : Barroth Ridge x2, Barroth Shell x1, Barroth Scalp x1, Rhenoplos Scalp x2 : 2 土砂竜の背甲, 1 土砂竜の甲殻, 1 土砂竜の頭殻, 2 草食竜の頭殻
Barroth Mail : Barroth Scalp x1, Barroth Ridge x2, Fertile Mud x2, Killer Beetle x2 : 1 土砂竜の頭殻, 2 土砂竜の背甲, 2 肥沃なドロ, 2 キラビートル
Barroth Vambraces : Barroth Claw x2, Barroth Shell x2, Fertile Mud x2, Rhenoplos Shell x3 : 2 土砂竜の爪, 2 土砂竜の甲殻, 2 肥沃なドロ, 3 草食竜の甲殻
Barroth Faulds : Barroth Shell x2, Barroth Claw x1, Barroth Ridge x2, Monster Bone M x5 : 2 土砂竜の甲殻, 1 土砂竜の爪, 2 土砂竜の背甲, 5 竜骨【中】
Barroth Greaves : Barroth Shell x2, Barroth Tail x1, Monster Bone L x2, Rhenoplos Shell x3 : 2 土砂竜の甲殻, 1 土砂竜の尻尾, 2 竜骨【大】, 3 草食竜の甲殻
Barroth Cap : Barroth Ridge x2, Barroth Shell x1, Barroth Scalp x1, Rhenoplos Scalp x2 : 2 土砂竜の背甲, 1 土砂竜の甲殻, 1 土砂竜の頭殻, 2 草食竜の頭殻
Barroth Vest : Barroth Scalp x1, Barroth Ridge x2, Fertile Mud x2, Killer Beetle x2 : 1 土砂竜の頭殻, 2 土砂竜の背甲, 2 肥沃なドロ, 2 キラビートル
Barroth Guards : Barroth Claw x2, Barroth Shell x2, Fertile Mud x2, Rhenoplos Shell x3 : 2 土砂竜の爪, 2 土砂竜の甲殻, 2 肥沃なドロ, 3 草食竜の甲殻
Barroth Coat : Barroth Shell x2, Barroth Claw x1, Barroth Ridge x2, Monster Bone M x5 : 2 土砂竜の甲殻, 1 土砂竜の爪, 2 土砂竜の背甲, 5 竜骨【中】
Barroth Leggings : Barroth Shell x2, Barroth Tail x1, Monster Bone L x2, Rhenoplos Shell x3 : 2 土砂竜の甲殻, 1 土砂竜の尻尾, 2 竜骨【大】, 3 草食竜の甲殻
Volvidon Helm : Volvidon Claw x2, Volvidon Shell x2, Monster Fluid x2, Dragonite Ore x4 : 2 赤甲獣の爪, 2 赤甲獣の甲殻, 2 モンスターの体液, 4 ドラグライト鉱石
Volvidon Mail : Volvidon Shell x3, Volvi Rickrack x1, Jumbo Bone x2, Uroktor Scale x4 : 3 赤甲獣の甲殻, 1 赤甲獣の蛇腹甲, 2 大きな骨, 4 溶岩獣の鱗
Volvidon Vambraces : Volvidon Claw x2, Volvi Rickrack x2, Jumbo Bone x2, Uroktor Scale x4 : 2 赤甲獣の爪, 2 赤甲獣の蛇腹甲, 2 大きな骨, 4 溶岩獣の鱗
Volvidon Faulds : Volvidon Shell x3, Paralysis Sac x4, Monster Fluid x1, Firestone x1 : 3 赤甲獣の甲殻, 4 麻痺袋, 1 モンスターの体液, 1 紅蓮石
Volvidon Greaves : Volvidon Claw x2, Volvidon Shell x2, Volvi Rickrack x1, Earth Crystal x4 : 2 赤甲獣の爪, 2 赤甲獣の甲殻, 1 赤甲獣の蛇腹甲, 4 大地の結晶
Volvidon Cap : Volvidon Claw x2, Volvidon Shell x2, Monster Fluid x2, Dragonite Ore x4 : 2 赤甲獣の爪, 2 赤甲獣の甲殻, 2 モンスターの体液, 4 ドラグライト鉱石
Volvidon Vest : Volvidon Shell x3, Volvi Rickrack x1, Jumbo Bone x2, Uroktor Scale x4 : 3 赤甲獣の甲殻, 1 赤甲獣の蛇腹甲, 2 大きな骨, 4 溶岩獣の鱗
Volvidon Guards : Volvidon Claw x2, Volvi Rickrack x2, Jumbo Bone x2, Uroktor Scale x4 : 2 赤甲獣の爪, 2 赤甲獣の蛇腹甲, 2 大きな骨, 4 溶岩獣の鱗
Volvidon Coat : Volvidon Shell x3, Paralysis Sac x4, Monster Fluid x1, Firestone x1 : 3 赤甲獣の甲殻, 4 麻痺袋, 1 モンスターの体液, 1 紅蓮石
Volvidon Leggings : Volvidon Claw x2, Volvidon Shell x2, Volvi Rickrack x1, Earth Crystal x4 : 2 赤甲獣の爪, 2 赤甲獣の甲殻, 1 赤甲獣の蛇腹甲, 4 大地の結晶
Gobul Helm : Gobul Whisker x2, Gobul Lantern x1, Gobul Hide x3, Monster Bone M x5 : 2 灯魚竜のヒゲ, 1 提灯球, 3 灯魚竜の皮, 4 竜骨【中】
Gobul Mail : Gobul Hide x3, Gobul Fin x2, Gobul Spike x2, Monster Bone L x3 : 3 灯魚竜の皮, 2 灯魚竜のヒレ, 2 灯魚竜の棘, 3 竜骨【大】
Gobul Vambraces : Gobul Fin x1, Gobul Spike x2, Gobul Hide x3, Paralysis Sac x3 : 1 灯魚竜のヒレ, 2 灯魚竜の棘, 3 灯魚竜の皮, 3 麻痺袋
Gobul Faulds : Gobul Fin x1, Gobul Spike x2, Gobul Whisker x1, Gobul Lantern x1 : 1 灯魚竜のヒレ, 2 灯魚竜の棘, 1 灯魚竜のヒゲ, 1 提灯球
Gobul Greaves : Gobul Spike x2, Gobul Hide x4, Gobul Fin x1, Monster Bone M x5 : 2 灯魚竜の棘, 4 灯魚竜の皮, 1 当魚竜のヒレ, 5 竜骨【中】
Gobul Cap : Gobul Whisker x2, Gobul Lantern x1, Gobul Hide x3, Monster Bone M x5 : 2 灯魚竜のヒゲ, 1 提灯球, 3 灯魚竜の皮, 4 竜骨【中】
Gobul Vest : Gobul Hide x3, Gobul Fin x2, Gobul Spike x2, Monster Bone L x3 : 3 灯魚竜の皮, 2 灯魚竜のヒレ, 2 灯魚竜の棘, 3 竜骨【大】
Gobul Guards : Gobul Fin x1, Gobul Spike x2, Gobul Hide x3, Paralysis Sac x3 : 1 灯魚竜のヒレ, 2 灯魚竜の棘, 3 灯魚竜の皮, 3 麻痺袋
Gobul Coat : Gobul Fin x1, Gobul Spike x2, Gobul Whisker x1, Gobul Lantern x1 : 1 灯魚竜のヒレ, 2 灯魚竜の棘, 1 灯魚竜のヒゲ, 1 提灯球
Gobul Leggings : Gobul Spike x2, Gobul Hide x4, Gobul Fin x1, Monster Bone M x5 : 2 灯魚竜の棘, 4 灯魚竜の皮, 1 当魚竜のヒレ, 5 竜骨【中】
Rathian Helm : Rathian Spike x1, Rathian Scale x4, Rathian Shell x3, Earth Crystal x5 : 1 雌火竜の棘, 4 雌火竜の鱗, 3 雌火竜の甲殻, 5 大地の結晶
Rathian Mail : Rathian Scale x4, Rathian Webbing x3, Rath Marrow x1, Machalite Ore x5 : 4 雌火竜の鱗, 3 雌火竜の翼膜, 1 火竜の骨髄, 5 マカライト鉱石
Rathian Vambraces : Rath Talon x2, Rathian Shell x2, Rathian Spike x1, Earth Crystal x5 : 2 火竜の翼爪, 2 雌火竜の甲殻, 1 雌火竜の棘, 5 大地の結晶
Rathian Faulds : Rathian Webbing x2, Rathian Plate x1, Flame Sac x2, Machalite Ore x5 : 2 雌火竜の翼膜, 1 雌火竜の逆鱗, 2 火炎袋, 5 マカライト鉱石
Rathian Greaves : Rathian Shell x3, Rathian Scale x4, Monster Bone L x3, Lightcrystal x1 : 3 雌火竜の甲殻, 4 雌火竜の鱗, 3 竜骨【大】, 1 ライトクリスタル
Rathian Cap : Rathian Spike x1, Rathian Scale x4, Rathian Shell x3, Earth Crystal x5 : 1 雌火竜の棘, 4 雌火竜の鱗, 3 雌火竜の甲殻, 5 大地の結晶
Rathian Vest : Rathian Scale x4, Rathian Webbing x3, Rath Marrow x1, Machalite Ore x5 : 4 雌火竜の鱗, 3 雌火竜の翼膜, 1 火竜の骨髄, 5 マカライト鉱石
Rathian Guards : Rath Talon x2, Rathian Shell x2, Rathian Spike x1, Earth Crystal x5 : 2 火竜の翼爪, 2 雌火竜の甲殻, 1 雌火竜の棘, 5 大地の結晶
Rathian Coat : Rathian Webbing x2, Rathian Plate x1, Flame Sac x2, Machalite Ore x5 : 2 雌火竜の翼膜, 1 雌火竜の逆鱗, 2 火炎袋, 5 マカライト鉱石
Rathian Leggings : Rathian Shell x3, Rathian Scale x4, Monster Bone L x3, Lightcrystal x1 : 3 雌火竜の甲殻, 4 雌火竜の鱗, 3 竜骨【大】, 1 ライトクリスタル
Gigginox Helm : Uncanny Hide x2, Gigginox Hide x3, Poison Sac x2, G.Baggi Hide x3 : 2 不気味な皮, 3 毒怪竜の皮, 2 毒袋, 3 眠狗竜の皮
Gigginox Mail : Gigginox Claw x2, Gigginox Hide x3, Venom Gland x3, Isisium x4 : 2 毒怪竜の爪, 3 毒怪竜の皮, 3 不気味な毒腺, 4 アイシスメタル
Gigginox Vambraces : Gigginox Hide x4, Gigginox Claw x1, Venom Gland x3, Monster Bone L x3 : 4 毒怪竜の皮, 1 毒怪竜の爪, 3 不気味な毒腺, 3 竜骨【大】
Gigginox Faulds : Gigginox Hide x4, Uncanny Hide x1, Velvety Hide x4, G.Baggi Hide x2 : 4 毒怪竜の皮, 1 不気味な皮, 4 なめらかな皮, 2 眠狗竜の皮
Gigginox Greaves : Fearsome Maw x1, Velvety Hide x4, Pale Extract x2, Lightcrystal x1 : 1 おそろしいクチ, 4 なめらかな皮, 2 アルビノエキス, 1 ライトクリスタル
Gigginox Cap : Uncanny Hide x2, Gigginox Hide x3, Poison Sac x2, G.Baggi Hide x3 : 2 不気味な皮, 3 毒怪竜の皮, 2 毒袋, 3 眠狗竜の皮
Gigginox Vest : Gigginox Claw x2, Gigginox Hide x3, Venom Gland x3, Isisium x4 : 2 毒怪竜の爪, 3 毒怪竜の皮, 3 不気味な毒腺, 4 アイシスメタル
Gigginox Guards : Gigginox Hide x4, Gigginox Claw x1, Venom Gland x3, Monster Bone L x3 : 4 毒怪竜の皮, 1 毒怪竜の爪, 3 不気味な毒腺, 3 竜骨【大】
Gigginox Coat : Gigginox Hide x4, Uncanny Hide x1, Velvety Hide x4, G.Baggi Hide x2 : 4 毒怪竜の皮, 1 不気味な皮, 4 なめらかな皮, 2 眠狗竜の皮
Gigginox Leggings : Fearsome Maw x1, Velvety Hide x4, Pale Extract x2, Lightcrystal x1 : 1 おそろしいクチ, 4 なめらかな皮, 2 アルビノエキス, 1 ライトクリスタル
Ingot Helm : Dragonite Ore x2, Isisium x2, Pelagicite Ore x1, Lightcrystal x1 : 2 ドラグライト鉱石, 2 アイシスメタル, 1 シーブライト鉱石, 1 ライトクリスタル
Ingot Mail : Dragonite Ore x4, Firestone x1, Pelagicite Ore x1, Lightcrystal x1 : 4 ドラグライト鉱石, 1 紅蓮石, 1 シーブライト鉱石, 1 ライトクリスタル
Ingot Vambraces : Dragonite Ore x2, Lightcrystal x2, Firestone x1, Machalite Ore x5 : 2 ドラグライト鉱石, 2 ライトクリスタル, 1 紅蓮石, 5 マカライト鉱石
Ingot Coil : Dragonite Ore x4, Firestone x1, Isisium x3, Machalite Ore x5 : 4 ドラグライト鉱石, 1 紅蓮石, 3 アイシスメタル, 5 マカライト鉱石
Ingot Greaves : Dragonite Ore x3, Isisium x2, Pelagicite Ore x2, Machalite Ore x5 : 3 ドラグライト鉱石, 2 アイシスメタル, 2 シーブライト鉱石, 5 マカライト鉱石
Ingot Cap : Dragonite Ore x2, Isisium x2, Pelagicite Ore x1, Lightcrystal x1 : 2 ドラグライト鉱石, 2 アイシスメタル, 1 シーブライト鉱石, 1 ライトクリスタル
Ingot Vest : Dragonite Ore x4, Firestone x1, Pelagicite Ore x1, Lightcrystal x1 : 4 ドラグライト鉱石, 1 紅蓮石, 1 シーブライト鉱石, 1 ライトクリスタル
Ingot Guards : Dragonite Ore x2, Lightcrystal x2, Firestone x1, Machalite Ore x5 : 2 ドラグライト鉱石, 2 ライトクリスタル, 1 紅蓮石, 5 マカライト鉱石
Ingot Coat : Dragonite Ore x4, Firestone x1, Isisium x3, Machalite Ore x5 : 4 ドラグライト鉱石, 1 紅蓮石, 3 アイシスメタル, 5 マカライト鉱石
Ingot Leggings : Dragonite Ore x3, Isisium x2, Pelagicite Ore x2, Machalite Ore x5 : 3 ドラグライト鉱石, 2 アイシスメタル, 2 シーブライト鉱石, 5 マカライト鉱石
Barioth Helm : Amber Tusks x2, Barioth Pelt x3, Barioth Shell x2, Killer Beetle x6 : 2 琥珀色の牙, 3 氷牙竜の毛皮, 2 氷牙竜の甲殻, 6 キラビートル
Barioth Mail : Barioth Shell x3, Barioth Tail x1, Barioth Spike x1, Hercudrome x3 : 3 氷牙竜の甲殻, 1 氷牙竜の尻尾, 1 氷牙竜の棘, 3 ドスヘラクレス
Barioth Vambraces : Barioth Claw x1, Barioth Shell x3, Frost Sac x4, Velvety Hide x6 : 1 氷牙竜の爪, 3 氷牙竜の甲殻, 4 氷結袋, 6 なめらかな皮
Barioth Faulds : Amber Tusks x1, Barioth Spike x1, Monster Bone+ x2, Lagom Plastron x4 : 1 琥珀色の牙, 1 氷牙竜の棘, 2 上竜骨, 4 白兎獣の腹甲
Barioth Greaves : Barioth Pelt x4, Barioth Shell x2, Barioth Claw x1, Lagombi Pelt x6 : 4 氷牙竜の毛皮, 2 氷牙竜の甲殻, 1 氷牙竜の爪, 6 白兎獣の毛
Barioth Cap : Amber Tusks x2, Barioth Pelt x3, Barioth Shell x2, Killer Beetle x6 : 2 琥珀色の牙, 3 氷牙竜の毛皮, 2 氷牙竜の甲殻, 6 キラビートル
Barioth Vest : Barioth Shell x3, Barioth Tail x1, Barioth Spike x1, Hercudrome x3 : 3 氷牙竜の甲殻, 1 氷牙竜の尻尾, 1 氷牙竜の棘, 3 ドスヘラクレス
Barioth Guards : Barioth Claw x1, Barioth Shell x3, Frost Sac x4, Velvety Hide x6 : 1 氷牙竜の爪, 3 氷牙竜の甲殻, 4 氷結袋, 6 なめらかな皮
Barioth Coat : Amber Tusks x1, Barioth Spike x1, Monster Bone+ x2, Lagom Plastron x4 : 1 琥珀色の牙, 1 氷牙竜の棘, 2 上竜骨, 4 白兎獣の腹甲
Barioth Leggings : Barioth Pelt x4, Barioth Shell x2, Barioth Claw x1, Lagombi Pelt x6 : 4 氷牙竜の毛皮, 2 氷牙竜の甲殻, 1 氷牙竜の爪, 6 白兎獣の毛
Nibelsnarf Helm : Nibelsnarf Scalp x1, Nibelsnarf Shell x2, Monster Bone M x5, G.Jaggi Hide x2 : 1 潜口竜の頭殻, 2 潜口竜の甲殻, 5 竜骨【中】, 2 狗竜の皮
Nibelsnarf Mail : Nibelsnarf Hide x4, Nibelsnarf Claw x1, Nibelsnarf Shell x3, Vivid Fluid x4 : 4 潜口竜の皮, 1 潜口竜の爪, 3 潜口竜の甲殻, 4 鮮やかな体液
Nibelsnarf Braces : Nibelsnarf Claw x2, Nibelsnarf Shell x2, Vivid Fluid x4, Altaroth Jaw x3 : 2 潜口竜の爪, 2 潜口竜の甲殻, 4 鮮やかな体液, 3 甲虫の大顎
Nibelsnarf Faulds : Nibelsnarf Hide x3, Nibelsnarf Scalp x1, Monster Bone L x3, Altaroth Stomach x4 : 3 潜口竜の皮, 1 潜口竜の頭殻, 3 竜骨【大】, 4 甲虫の腹袋
Nibelsnarf Greaves : Nibelsnarf Shell x3, Nibelsnarf Claw x1, Nibelsnarf Hide x3, Altaroth Jaw x3 : 3 潜口竜の甲殻, 1 潜口竜の爪, 3 潜口竜の皮, 3 甲虫の大顎
Nibelsnarf Cap : Nibelsnarf Scalp x1, Nibelsnarf Shell x2, Monster Bone M x5, G.Jaggi Hide x2 : 1 潜口竜の頭殻, 2 潜口竜の甲殻, 5 竜骨【中】, 2 狗竜の皮
Nibelsnarf Vest : Nibelsnarf Hide x4, Nibelsnarf Claw x1, Nibelsnarf Shell x3, Vivid Fluid x4 : 4 潜口竜の皮, 1 潜口竜の爪, 3 潜口竜の甲殻, 4 鮮やかな体液
Nibelsnarf Guards : Nibelsnarf Claw x2, Nibelsnarf Shell x2, Vivid Fluid x4, Altaroth Jaw x3 : 2 潜口竜の爪, 2 潜口竜の甲殻, 4 鮮やかな体液, 3 甲虫の大顎
Nibelsnarf Coat : Nibelsnarf Hide x3, Nibelsnarf Scalp x1, Monster Bone L x3, Altaroth Stomach x4 : 3 潜口竜の皮, 1 潜口竜の頭殻, 3 竜骨【大】, 4 甲虫の腹袋
Nibelsnarf Leggings : Nibelsnarf Shell x3, Nibelsnarf Claw x1, Nibelsnarf Hide x3, Altaroth Jaw x3 : 3 潜口竜の甲殻, 1 潜口竜の爪, 3 潜口竜の皮, 3 甲虫の大顎
Guild Bard Lobos/Scholar's Beret : Flying Coin x2, Leviathan Coin x3, Beast Coin x4, Volvi Rickrack x3 : 2 飛竜のコイン, 3 海竜のコイン, 4 牙獣のコイン, 3 赤甲獣の蛇腹甲
Guild Bard Bolero/Scholar's Blouse : Flying Coin x2, Leviathan Coin x3, Beast Coin x4, Rathalos Webbing x2 : 2 飛竜のコイン, 3 海竜のコイン, 4 牙獣のコイン, 2 火竜の翼膜
Guild Bard Braces/Scholar's Gloves : Flying Coin x2, Leviathan Coin x3, Beast Coin x4, Uragaan Scute x2 : 2 飛竜のコイン, 3 海竜のコイン, 4 牙獣のコイン, 2 爆鎚竜の耐熱殻
Guild Bard Coil/Scholar's Skirt : Flying Coin x2, Leviathan Coin x3, Beast Coin x4, Vivid Fluid x4 : 2 飛竜のコイン, 3 海竜のコイン, 4 牙獣のコイン, 4 鮮やかな体液
Guild Bard Boots/Scholar's Socks : Flying Coin x2, Leviathan Coin x3, Beast Coin x4, Barioth Spike x2 : 2 飛竜のコイン, 3 海竜のコイン, 4 牙獣のコイン, 2 氷牙竜の棘
Guild Bard Hat/Scholar's Cap : Flying Coin x2, Leviathan Coin x3, Beast Coin x4, Volvi Rickrack x3 : 2 飛竜のコイン, 3 海竜のコイン, 4 牙獣のコイン, 3 赤甲獣の蛇腹甲
Guild Bard Vest/Scholar's Vest : Flying Coin x2, Leviathan Coin x3, Beast Coin x4, Rathalos Webbing x2 : 2 飛竜のコイン, 3 海竜のコイン, 4 牙獣のコイン, 2 火竜の翼膜
Guild Bard Sleeves/Scholar's Sleeves : Flying Coin x2, Leviathan Coin x3, Beast Coin x4, Uragaan Scute x2 : 2 飛竜のコイン, 3 海竜のコイン, 4 牙獣のコイン, 2 爆鎚竜の耐熱殻
