Yukumo Kasa : 1 Yukumo Wood, 1 Gagua Feather
Yukumo Dogi : 2 Yukumo Wood, 2 Ivy
Yukumo Kote : 2 Yukumo Wood, 1 Ivy
Yukumo Obi : 1 Yukumo Wood, 2 Iron Ore
Yukumo Hakama : 2 Yukumo Wood, 2 Carpenterbug
Leather Headgear : 1 Warm Pelt, 1 Iron Ore
Leather Vest : 1 Bullfango Pelt, 1 Iron Ore
Leather Gloves : 2 Warm Pelt
Leather Belt : 1 Bullfango Pelt, 1 Iron Ore
Leather Pants : 2 Warm Pelt
Chainmail Headgear : 1 Earth Crystal, 1 Iron Ore
Chainmail Vest : 2 Iron Ore, 1 Yukumo Wood
Chainmail Gloves : 1 Iron Ore, 2 Yukumo Wood
Chainmail Belt : 1 Iron Ore, 2 Warm Pelt
Chainmail Pants : 2 Iron Ore, 2 Yukumo Wood
Loc Lac Shawl : 1 Altaroth Stomach, 3 Monster Fluid, 3 Ice Crystal
Loc Lac Kilt : 2 Altaroth Stomach, 2 Altaroth Jaw, 3 Ice Crystal
Loc Lac Boots : 3 Altaroth Jaw, 2 Altaroth Stomach, 3 Ice Crystal
Hunter's Helm : 1 Machalite Ore, 1 Iron Ore, 2 Carpenterbug
Hunter's Mail : 2 Iron Ore, 1 Jaggi Scale, 2 Bullfango Pelt
Hunter's Vambraces : 1 Earth Crystal, 2 Jaggi Scale, 1 Ivy
Hunter's Faulds : 2 Bullfango Pelt, 1 Iron Ore, 1 Carpenterbug
Hunter's Greaves : 1 Iron Ore, 1 Bullfango Pelt, 2 Yukumo Wood
Hunter's Cap : 1 Machalite Ore, 1 Iron Ore, 2 Carpenterbug
Hunter's Vest : 2 Iron Ore, 1 Jaggi Scale, 2 Bullfango Pelt
Hunter's Guards : 1 Earth Crystal, 2 Jaggi Scale, 1 Ivy
Hunter's Coat : 2 Bullfango Pelt, 1 Iron Ore, 1 Carpenterbug
Hunter's Leggings : 1 Iron Ore, 1 Bullfango Pelt, 2 Yukumo Wood
Bone Helm : 3 Big Fin, 1 Unknown Skull, 2 Sharpened Fang
Bone Mail : 1 Giant Bone, 4 Mystery Bone, 2 Sharpened Fang
Bone Vambraces : 3 Monster Bone S, 3 Mystery Bone, 2 Sharpened Fang
Bone Faulds : 3 Monster Bone S, 3 Bone, 2 Sharpened Fang
Bone Greaves : 2 Monster Bone M, 2 Bone, 4 Mystery Bone
Bone Cap : 3 Big Fin, 1 Unknown Skull, 2 Sharpened Fang
Bone Vest : 1 Giant Bone, 4 Mystery Bone, 2 Sharpened Fang
Bone Guards : 3 Monster Bone S, 3 Mystery Bone, 2 Sharpened Fang
Bone Coat : 3 Monster Bone S, 3 Bone, 2 Sharpened Fang
Bone Leggings : 2 Monster Bone M, 2 Bone, 4 Mystery Bone
Alloy Helm : 3 Machalite Ore, 2 Bealite Ore, 3 Iron Ore
Alloy Mail : 3 Machalite Ore, 2 Pelagicite Ore, 2 Iron Ore
Alloy Vambraces : 2 Machalite Ore, 2 Bealite Ore, 4 Iron Ore
Alloy Coil : 2 Machalite Ore, 2 Pelagicite Ore, 3 Iron Ore
Alloy Greaves : 4 Machalite Ore, 2 Bealite Ore, 2 Iron Ore
Alloy Cap : 3 Machalite Ore, 2 Bealite Ore, 3 Iron Ore
Alloy Vest : 3 Machalite Ore, 2 Pelagicite Ore, 2 Iron Ore
Alloy Guards : 2 Machalite Ore, 2 Bealite Ore, 4 Iron Ore
Alloy Coat : 2 Machalite Ore, 2 Pelagicite Ore, 3 Iron Ore
Alloy Leggings : 4 Machalite Ore, 2 Bealite Ore, 2 Iron Ore
Damascus Vest : 4 Sturdy Fang+, 6 Slvr Rthlos Cpc, 3 Rath Fluid, 3 Mohran Scale
Damascus Guards : 4 Mohran Scale+, 4 Slvr Rthlos Scl, 3 Rath Fluid, 3 Mohran Shell
Damascus Coat : 6 Mohran Carapace, 4 Gld Rathian Scl, 4 Slvr Rthlos Scl, 1 Sturdy Fang
Damascus Leggings : 6 Mohran Carapace, 6 Gld Rathian Cpc, 1 Slvr RthlosTail, 3 Mohran Scale
Pirate J Hat : 1 Legend J Ticket, 2 Vivid Feather, 5 Rathalos Scale+, 6 SteelUragaanScl
Pirate J Suit : 1 Legend J Ticket, 2 Red Qurpeco Wng, 2 Uncanny Hide+, 3 Molten Chest Cpc
Pirate J Gloves : 1 Legend J Ticket, 6 ThndrGiggi Hide, 1 Rathalos Ruby, 5 Agnaktor Carpce
Pirate J Coil : 1 Legend J Ticket, 2 ThndrGiggi Claw, 3 Steel Uragaan Scute, 4 Agnaktor Hide+
Pirate J Boots : 1 Legend J Ticket, 5 Red Qurpeco Scl, 4 Rathalos Carpce, 4 SteelUragaanCpc
Pirate J Cap : 1 Legend J Ticket, 2 Vivid Feather, 5 Rathalos Scale+, 6 SteelUragaanScl
Pirate J Jacket : 1 Legend J Ticket, 2 Red Qurpeco Wng, 2 Uncanny Hide+, 3 Molten Chest Cpc
Pirate J Cuffs : 1 Legend J Ticket, 6 ThndrGiggi Hide, 1 Rathalos Ruby, 5 Agnaktor Carpce
Pirate J Coat : 1 Legend J Ticket, 2 ThndrGiggi Claw, 3 Steel Uragaan Scute, 4 Agnaktor Hide+
Pirate J Pants : 1 Legend J Ticket, 5 Red Qurpeco Scl, 4 Rathalos Carpce, 4 SteelUragaanCpc
Crow Lily Jacket : 2 Proof of Lily Strength, 4 Rathalos Carpce, 4 Tigrex Carapace, 4 BlackNargaPelt+
Crow Lily Belt : 2 Proof of Lily Strength, 2 Rathalos Tail, 2 Tigrex Tail, 2 Nargacuga Tail
Crow Lily Jeans : 2 Proof of Lily Strength, 5 Rathalos Scale+, 5 Tigrex Scale+, 6 Narga Scale+
Crow Lily Jumper : 2 Proof of Lily Strength, 4 Rathalos Carpce, 4 Tigrex Carapace, 4 BlackNargaPelt+
Crow Lily Buckle : 2 Proof of Lily Strength, 2 Rathalos Tail, 2 Tigrex Tail, 2 Nargacuga Tail
Crow Lily Denim : 2 Proof of Lily Strength, 5 Rathalos Scale+, 5 Tigrex Scale+, 6 Narga Scale+
The Boss' Mask : 1 Big Boss Title, 2 Hapul Scalp, 1 Dobol Horn+, 1 Dobol Sacrum
The Boss' Suit : 1 Big Boss Title, 6 Hapul Carapace, 2 Hapul Hide+, 2 Mossy Carapace+
The Boss' Gloves : 1 Big Boss Title, 2 Hapul Claw+, 3 Hapul Carapace, 3 Dobol Carapace
The Boss' Belt : 1 Big Boss Title, 1 Hapul Claw+, 1 Wyvern Stone, 3 Dobol Carapace
The Boss' Boots : 1 Big Boss Title, 4 Hapul Hide+, 2 Mossy Carapace+, 2 Dobol Tail+
The Boss' Head : 1 Big Boss Title, 2 Hapul Scalp, 1 Dobol Horn+, 1 Dobol Sacrum
The Boss' Body : 1 Big Boss Title, 6 Hapul Carapace, 2 Hapul Hide+, 2 Mossy Carapace+
The Boss' Arms : 1 Big Boss Title, 2 Hapul Claw+, 3 Hapul Carapace, 3 Dobol Carapace
The Boss' Band : 1 Big Boss Title, 1 Hapul Claw+, 1 Wyvern Stone, 3 Dobol Carapace
The Boss' Feet : 1 Big Boss Title, 4 Hapul Hide+, 2 Mossy Carapace+, 2 Dobol Tail+
UNIQLO Knithat : 1 Uniqlo Ticket, 4 Dark Tigrex Scale, 1 Tigrex Agito, 1 Jinouga Horn+
UNIQLO Suit : 1 Uniqlo Ticket, 3 Dark Tigrex Shell, 1 Wyvern Stone, 2 Jinouga Fur+
UNIQLO Gloves : 1 Uniqlo Ticket, 4 Dark Tigrex Claw, 3 Jinouga Claw+, 1 Jinouga Conductor+
UNIQLO Ringbelt : 1 Uniqlo Ticket, 4 Dark Tigrex Scale, 1 Jinouga Conductor+, 1 Jinouga Gem
UNIQLO Cargopants : 1 Uniqlo Ticket, 3 Dark Tigrex Shell, 2 Dark Tigrex Fang, 1 Jinouga Fur+
UNIQLO Headphone : 1 Uniqlo Ticket, 4 Dark Tigrex Scale, 1 Tigrex Agito, 1 Jinouga Horn+
UNIQLO Jacket : 1 Uniqlo Ticket, 3 Dark Tigrex Shell, 1 Wyvern Stone, 2 Jinouga Fur+
UNIQLO Grabs : 1 Uniqlo Ticket, 4 Dark Tigrex Claw, 3 Jinouga Claw+, 1 Jinouga Conductor+
UNIQLO Porch : 1 Uniqlo Ticket, 4 Dark Tigrex Scale, 1 Jinouga Conductor+, 1 Jinouga Gem
UNIQLO Cutpants : 1 Uniqlo Ticket, 3 Dark Tigrex Shell, 2 Dark Tigrex Fang, 1 Jinouga Fur+
Gold Luna Helm : 3 GldRathianSpike, 5 Gld Rathian Cpc, 3 Rath Fluid, 3 Inferno Sac
Gold Luna Mail : 5 Gld Rathian Scl, 1 Rath Medulla, 2 Rathian Plate, 4 Union Ore
Gold Luna Vambraces : 5 Gld Rathian Cpc, 3 Rath Talon, 1 Rathian Ruby, 4 Union Ore
Gold Luna Faulds : 5 Gld Rathian Scl, 5 Rathian Webbing, 3 Rath Fluid, 2 Firecell Stone
Gold Luna Greaves : 5 Gld Rathian Cpc, 4 Gld Rathian Scl, 5 Hrd Monster Bone, 1 Wyvern Stone
Gold Luna Cap : 3 GldRathianSpike, 5 Gld Rathian Cpc, 3 Rath Fluid, 3 Inferno Sac
Gold Luna Vest : 5 Gld Rathian Scl, 1 Rath Medulla, 2 Rathian Plate, 4 Union Ore
Gold Luna Guards : 5 Gld Rathian Cpc, 3 Rath Talon, 1 Rathian Ruby, 4 Union Ore
Gold Luna Coat : 5 Gld Rathian Scl, 5 Rathian Webbing, 3 Rath Fluid, 2 Firecell Stone
Gold Luna Leggings : 5 Gld Rathian Cpc, 4 Gld Rathian Scl, 5 Hrd Monster Bone, 1 Wyvern Stone
Silver Sol Helm : 5 Slvr Rthlos Scl, 1 Rathalos Ruby, 3 Rath Fluid, 5 Union Ore
Silver Sol Mail : 5 Slvr Rthlos Cpc, 6 Slvr Rthlos Scl, 3 Rathalos Webbng, 3 Hrd Monster Bone
Silver Sol Vambraces : 1 Slvr RthlosTail, 2 Rath Medulla, 4 Rath Talon, 3 Firecell Stone
Silver Sol Faulds : 5 Slvr Rthlos Cpc, 3 Rathalos Webbng, 2 Rathalos Plate, 3 Inferno Sac
Silver Sol Greaves : 5 Slvr Rthlos Cpc, 5 Slvr Rthlos Scl, 4 Rath Fluid, 5 Union Ore
Silver Sol Cap : 5 Slvr Rthlos Scl, 1 Rathalos Ruby, 3 Rath Fluid, 5 Union Ore
Silver Sol Vest : 5 Slvr Rthlos Cpc, 6 Slvr Rthlos Scl, 3 Rathalos Webbng, 3 Hrd Monster Bone
Silver Sol Guards : 1 Slvr RthlosTail, 2 Rath Medulla, 4 Rath Talon, 3 Firecell Stone
Silver Sol Coat : 5 Slvr Rthlos Cpc, 3 Rathalos Webbng, 2 Rathalos Plate, 3 Inferno Sac
Silver Sol Leggings : 5 Slvr Rthlos Cpc, 5 Slvr Rthlos Scl, 4 Rath Fluid, 5 Union Ore
Vangis Helm : 2 Deviljho Scalp, 4 Deviljho Hide, 3 Deviljho Saliva, 1 Barioth Spike
Vangis Mail : 5 Deviljho Fang, 4 Deviljho Claw, 5 Deviljho Hide, 1 Jinouga Plate
Vangis Vambraces : 6 Deviljho Scale, 5 Deviljho Fang, 3 Deviljho Saliva, 1 Narga Marrow
Vangis Coil : 4 Deviljho Hide, 1 Deviljho Gem, 6 Deviljho Scale, 1 Dobol Tail Bone
Vangis Greaves : 4 Deviljho Claw, 6 Deviljho Scale, 3 Deviljho Saliva, 1 Uragaan Marrow
Vangis Cap : 2 Deviljho Scalp, 4 Deviljho Hide, 3 Deviljho Saliva, 1 Barioth Spike
Vangis Vest : 5 Deviljho Fang, 4 Deviljho Claw, 5 Deviljho Hide, 1 Jinouga Plate
Vangis Guards : 6 Deviljho Scale, 5 Deviljho Fang, 3 Deviljho Saliva, 1 Narga Marrow
Vangis Coat : 4 Deviljho Hide, 1 Deviljho Gem, 6 Deviljho Scale, 1 Dobol Tail Bone
Vangis Leggings : 4 Deviljho Claw, 6 Deviljho Scale, 3 Deviljho Saliva, 1 Uragaan Marrow
Yamato Kabuto+/Hinata Hachigane+ : 4 Sturdy Fang+, 5 Mohran Scale+, 5 Mohran Shell, 1 Rathian Plate
Yamato Muneate+/Hinata Muneate+ : 6 Mohran Carapace, 4 Sturdy Fang+, 1 ElderDragonBlood, 6 Quality Fin
Yamato Kote+/Hinata Kote+ : 6 Mohran Scale+, 1 Mohran Brace, 1 Earh Dragongem, 3 Bathycite Ore
Yamato Koshiate+/Hinata Koshiate+ : 4 Mohran Brace+, 6 Mohran Carapace, 5 Mohran Scale, 1 Rathalos Plate
Yamato Gusoku+/Hinata Hakama+ : 5 Mohran Scale+, 6 Mohran Carapace, 1 Earh Dragongem, 10 Big Fin
Mutsu Eboshi+/Amagi Hachigane+ : 4 Sturdy Fang+, 5 Mohran Scale+, 5 Mohran Shell, 1 Rathian Plate
Mutsu Muneate+/Amagi Muneate+ : 6 Mohran Carapace, 4 Sturdy Fang+, 1 ElderDragonBlood, 6 Quality Fin
Mutsu Kote+/Amagi Kote+ : 6 Mohran Scale+, 1 Mohran Brace, 1 Earh Dragongem, 3 Bathycite Ore
Mutsu Koshiate+/Amagi Koshiate+ : 4 Mohran Brace+, 6 Mohran Carapace, 5 Mohran Scale, 1 Rathalos Plate
Mutsu Gusoku+/Amagi Hakama+ : 5 Mohran Scale+, 6 Mohran Carapace, 1 Earh Dragongem, 10 Big Fin
Akantor Sakupake : 3 Akantor Spike, 4 Akantor Scale, 6 Akantor Shell, 1 Tigrex Agito
Akantor Urunte : 3 Akantor Fang, 2 Akantor Spike, 4 Akantor Scale, 1 Rathalos Ruby
Akantor Sakunpe : 5 Akantor Claw, 4 Akantor Scale, 1 Akantor Gem, 2 Agnaktor Fin+
Akantor Ikkeku : 5 Akantor Shell, 3 Akantor Fang, 1 Akantor Tail, 1 Rathian Ruby
Akantor Kemal : 5 Akantor Scale, 5 Akantor Claw, 5 Akantor Shell, 1 Uragaan Ruby
Akantor Mask : 3 Akantor Spike, 4 Akantor Scale, 6 Akantor Shell, 1 Tigrex Agito
Akantor Aegis : 3 Akantor Fang, 2 Akantor Spike, 4 Akantor Scale, 1 Rathalos Ruby
Akantor Claw : 5 Akantor Claw, 4 Akantor Scale, 1 Akantor Gem, 2 Agnaktor Fin+
Akantor Cinture : 5 Akantor Shell, 3 Akantor Fang, 1 Akantor Tail, 1 Rathian Ruby
Akantor Hessian : 5 Akantor Scale, 5 Akantor Claw, 5 Akantor Shell, 1 Uragaan Ruby
Ukanlos Sakupake : 3 Ukanlos Jaw, 5 Ukanlos Scale, 6 Ukanlos Shell, 1 Fearsome Maw
Ukanlos Urunte : 5 Ukanlos Fin, 3 Ukanlos Jaw, 5 Ukanlos Shell, 1 FrznAgnaktor Beak
Ukanlos Sakunpe : 5 Ukanlos Scale, 3 Ukanlos Claw, 1 Ukanlos Tail, 2 ThndrGiggi Claw
Ukanlos Ikkeku : 6 Ukanlos Shell, 3 Ukanlos Claw, 1 Ukanlos Gem, 1 Barioth Claw+
Ukanlos Kemal : 3 Ukanlos Claw, 5 Ukanlos Fin, 4 Ukanlos Scale, 3 Ice Barroth Scalp
Ukanlos Mask : 3 Ukanlos Jaw, 5 Ukanlos Scale, 6 Ukanlos Shell, 1 Fearsome Maw
Ukanlos Aegis : 5 Ukanlos Fin, 3 Ukanlos Jaw, 5 Ukanlos Shell, 1 FrznAgnaktor Beak
Ukanlos Claw : 5 Ukanlos Scale, 3 Ukanlos Claw, 1 Ukanlos Tail, 2 ThndrGiggi Claw
Ukanlos Cinture : 6 Ukanlos Shell, 3 Ukanlos Claw, 1 Ukanlos Gem, 1 Barioth Claw+
Ukanlos Hessian : 3 Ukanlos Claw, 5 Ukanlos Fin, 4 Ukanlos Scale, 3 Ice Barroth Scalp
Escadora Wisdom : 4 Brkn Skypiercer, 1 Skypiercer, 6 Alatreon Plate, 1 SandBariothClw
Escadora Soul : 6 Alatreon Shell, 6 Alatreon Claw, 4 Brkn Skypiercer, 3 Hapul Scalp
Escadora Arms : 6 Alatreon Claw, 6 Alatreon Shell, 1 ElderDragonBlood, 1 MajesticBlkHorn
Escadora Might : 1 Alatreon Webbng, 1 Alatreon Tail, 5 Alatreon Plate, 3 Tigrex Scalp
Escadora Scale : 6 Alatreon Plate, 6 Alatreon Shell, 1 Azure Dragongem, 2 Majestic Horn
Escadora Sagesse : 4 Brkn Skypiercer, 1 Skypiercer, 6 Alatreon Plate, 1 SandBariothClw
Escadora Seele : 6 Alatreon Shell, 6 Alatreon Claw, 4 Brkn Skypiercer, 3 Hapul Scalp
Escadora Arma : 6 Alatreon Claw, 6 Alatreon Shell, 1 ElderDragonBlood, 1 MajesticBlkHorn
Escadora Force : 1 Alatreon Webbng, 1 Alatreon Tail, 5 Alatreon Plate, 3 Tigrex Scalp
Escadora Scala : 6 Alatreon Plate, 6 Alatreon Shell, 1 Azure Dragongem, 2 Majestic Horn
Storm Crown : 3 Amatsu Horn, 4 Amatsu Webbing, 6 Amatsu Chest Shl, 3 Wyvern Stone
Storm Clothing : 5 Amatsu Chest Shl, 5 Amatsu Carapace, 1 Devine Dragongem, 3 R.Ludroth Crest+
Storm Sleeve : 4 Amatsu Claw, 4 Amatsu Webbing, 3 Storm Vesicle, 1 Jinouga Gem
Storm Obi : 1 Amatsu Tail, 4 Amatsu Webbing, 5 Amatsu Carapace, 1 Narga Brain Stm
Storm Hakama : 4 Amatsu Webbing, 5 Amatsu Carapace, 4 Amatsu Claw, 1 Dobol Sacrum
Sky Crown : 3 Amatsu Horn, 4 Amatsu Webbing, 6 Amatsu Chest Shl, 3 Wyvern Stone
Sky Clothing : 5 Amatsu Chest Shl, 5 Amatsu Carapace, 1 Devine Dragongem, 3 R.Ludroth Crest+
Sky Sleeve : 4 Amatsu Claw, 4 Amatsu Webbing, 3 Storm Vesicle, 1 Jinouga Gem
Sky Obi : 1 Amatsu Tail, 4 Amatsu Webbing, 5 Amatsu Carapace, 1 Narga Brain Stm
Sky Hakama : 4 Amatsu Webbing, 5 Amatsu Carapace, 4 Amatsu Claw, 1 Dobol Sacrum
Gagua Mask : 7 Gagua Feather, 5 Yukumo Wood
Bullfango Mask : 1 Bullfango Head, 3 Bulldrome Hide, 6 Bulldrome Tusk, 2 Monster Bone L
Two-Eye Earring : 1 Lightcrystal
Jaggi Mask : 1 Great Jaggi Head, 3 Great Jaggi Hide, 1 King's Frill, 2 Fire Stone
Skull Mask : 3 Fire Stone, 5 Unknown Skull, 10 Mystery Bone, 1 Commendation
HellHunter Jacket : 3 Inviation to Arms, 4 Black Narga Plt, 6 Warm Pelt, 1 Commendation
HellHunter Leather : 3 Inviation to Arms, 4 Black Narga Plt, 6 Warm Pelt, 1 Commendation
Gagua S Mask : 2 Yukumo Wood+, 3 High Qualty Pelt, 10 Gagua Feather
Gagua S Head : 2 Yukumo Wood+, 3 High Qualty Pelt, 10 Gagua Feather
Bullfango S Mask : 5 Bulldrome Hide+, 2 Bullfango Head, 5 Bulldrome Tusk, 3 Stout Bone
Bullfango S Head : 5 Bulldrome Hide+, 2 Bullfango Head, 5 Bulldrome Tusk, 3 Stout Bone
Jaggi S Mask : 3 Great Jaggi Hide+, 2 Great Jaggi Head, 3 King's Frill, 3 Firecell Stone
Jaggi S Head : 3 Great Jaggi Hide+, 2 Great Jaggi Head, 3 King's Frill, 3 Firecell Stone
Skull S Mask : 5 Firecell Stone, 8 Unknown Skull, 15 Mystery Bone, 1 Commendation+
Skull S Head : 5 Firecell Stone, 8 Unknown Skull, 15 Mystery Bone, 1 Commendation+
Wyvernking Eyepatch : 3 Alatreon Plate, 3 Akantor Scale, 3 Ukanlos Scale
Shadow Shades : 3 BlkCrystalTckt, 3 Deviljho Scale, 1 MajesticBlkHorn, 1 Commendation+
SoulHunter Jacket : 3 White Crow Ticket, 4 Barioth Pelt+, 6 High Qualty Pelt, 1 Commendation+
SoulHunter Leather : 3 White Crow Ticket, 4 Barioth Pelt+, 6 High Qualty Pelt, 1 Commendation+
Black Leather Legs : 3 DragnScaleTckt, 4 Black Narga Plt, 6 Warm Pelt, 1 Commendation
Black Leather Pants : 3 DragnScaleTckt, 4 Black Narga Plt, 6 Warm Pelt, 1 Commendation
Sword Saint Earring : 
Barrage Earring : 
MH Division Jacket : 3 MH Club Form, 2 Deviljho Hide, 2 Vivid Feather
MH Division Jersey : 3 MH Club Form, 2 Deviljho Hide, 2 Vivid Feather
Snake's Mask : 1 Big Boss Title, 2 Hapul Scalp, 1 Dobol Horn+, 1 Dobol Sacrum
Snake's Suit : 1 Big Boss Title, 6 Hapul Carapace, 2 Hapul Hide+, 2 Mossy Carapace+
Snake's Gloves : 1 Big Boss Title, 2 Hapul Claw+, 3 Hapul Carapace, 3 Dobol Carapace
Snake's Belt : 1 Big Boss Title, 1 Hapul Claw+, 1 Wyvern Stone, 3 Dobol Carapace
Snake's Boots : 1 Big Boss Title, 4 Hapul Hide+, 2 Mossy Carapace+, 2 Dobol Tail+
Snake's Head : 1 Big Boss Title, 2 Hapul Scalp, 1 Dobol Horn+, 1 Dobol Sacrum
Snake's Body : 1 Big Boss Title, 6 Hapul Carapace, 2 Hapul Hide+, 2 Mossy Carapace+
Snake's Arms : 1 Big Boss Title, 2 Hapul Claw+, 3 Hapul Carapace, 3 Dobol Carapace
Snake's Band : 1 Big Boss Title, 1 Hapul Claw+, 1 Wyvern Stone, 3 Dobol Carapace
Snake's Feet : 1 Big Boss Title, 4 Hapul Hide+, 2 Mossy Carapace+, 2 Dobol Tail+
